Season,Name,Team,Age,G,PA,AB,BB%,K%,Swing%,O-Swing%,Z-Swing%,Contact%,O-Contact%,Z-Contact%,Zone%,SwStr%,EV,maxEV,LA,Barrel%,HardHit%,BABIP,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,BsR,Spd,SB,CS,Pos,xBA,xSLG,xwOBA,AVG+,OPS+,ISO+,wRC+,WAR
2024,Aaron Judge,NYY,32,158,704,559,0.188920454,0.242897727,0.42010399,0.21256606,0.71912014,0.7120462,0.48895028,0.80705882,0.40970537,0.12088673,96.23058925,117.5,18.89460154,0.2685422,0.6112532,0.367469879,0.233333333,0.305128205,0.461538461,0.055555555,0.322222222,0.4,0.34871795,0.25128205,-0.49527166,3.920110021,10,0,-3.431070328,0.304650039,0.740077231,0.480939529,134.3270895,226.0543079,245.0185507,219.7835723,11.33495928
2022,Aaron Judge,NYY,30,157,696,570,0.159482758,0.251436781,0.42532691,0.26845638,0.67620751,0.72168285,0.51666667,0.85185185,0.38472127,0.11837577,95.77769619,118.4,14.87468672,0.26237624,0.61138614,0.340236686,0.1925,0.3725,0.435,0.045977011,0.356321839,0.475,0.3175,0.2075,1.046256584,4.03627478,16,3,-4.144947052,0.303865889,0.73157512,0.468061058,128.0609927,212.415295,251.4273959,206.1548368,11.09254743
2024,Bobby Witt Jr.,KCR,24,161,709,636,0.080394922,0.149506346,0.51173528,0.35448718,0.74783446,0.8075188,0.69981917,0.88416988,0.39976914,0.09838586,92.7327123,116.9,15.11895911,0.14312268,0.48327138,0.35375494,0.185873605,0.369888475,0.444237918,0.10878661,0.133891213,0.35130112,0.38475836,0.26394052,4.485809095,7.202324158,31,12,7.061040878,0.308841633,0.582779267,0.406940569,138.3975009,175.0982718,165.5790556,169.1339318,10.48966198
2018,Mookie Betts,BOS,25,136,614,520,0.131921824,0.148208469,0.35631294,0.1977058,0.57,0.85869565,0.70648464,0.92982456,0.42602634,0.05034857,92.27837028,110.6,18.48372093,0.140553,0.50230415,0.368159203,0.211981566,0.338709677,0.449308755,0.092307692,0.164102564,0.47235023,0.34792627,0.1797235,7.713734317,6.963847716,30,6,-5.272633076,0.309364348,0.607269405,0.431400489,138.5758949,191.164132,176.3886218,184.9969736,10.18604182
2025,Aaron Judge,NYY,33,152,679,541,0.182621502,0.235640648,0.43671608,0.2574698,0.70321361,0.67624021,0.44444444,0.80241935,0.40212847,0.14123007,95.42196584,118.1,19.0620155,0.24742268,0.58247423,0.376119402,0.195876288,0.340206185,0.463917525,0.066666666,0.294444444,0.36597938,0.37371134,0.26030928,-4.142770311,4.561006247,12,5,-10.27949142,0.299911216,0.708415392,0.459255701,135.7808784,215.3664171,220.3638848,204.4578696,10.12667685
2018,Mike Trout,LAA,26,140,608,471,0.200657894,0.203947368,0.3755407,0.21759891,0.59052925,0.8408377,0.68965517,0.91666667,0.42351553,0.05977192,91.19174012,118,18.61538462,0.16477273,0.46022727,0.346153846,0.233618233,0.313390313,0.452991452,0.094339622,0.245283018,0.4017094,0.37321937,0.22507123,3.807369278,5.926503882,24,2,0.225765198,0.294044689,0.602678729,0.434750713,124.943871,195.0529854,189.6478146,188.3163035,9.416220686
2023,Ronald Acuña Jr.,ATL,25,159,735,643,0.108843537,0.114285714,0.46189792,0.26786824,0.72804774,0.8311284,0.73781903,0.87822014,0.42163911,0.07780567,94.70874721,121.2,7.408199643,0.15302491,0.55160142,0.3378119,0.201067615,0.494661921,0.304270462,0.046783625,0.239766081,0.39679715,0.35587189,0.24733096,8.872128101,7.284336988,73,14,-7.217076778,0.35100121,0.66848912,0.461176122,134.9757792,171.7886222,155.0651354,171.4487274,9.153116676
2025,Cal Raleigh,SEA,28,159,705,596,0.137588652,0.266666666,0.51730226,0.35685367,0.76881233,0.71331058,0.55753647,0.82665094,0.3894774,0.14825274,91.26374316,114.7,25.16788321,0.1946472,0.49635036,0.247863247,0.172749391,0.250608272,0.576642335,0.139240506,0.253164556,0.55474453,0.25060827,0.1946472,-2.760269746,3.612540529,14,4,5.085733891,0.231260338,0.546677557,0.370549801,101.2171078,159.8312304,211.4288676,161.1147743,9.062879106
2024,Shohei Ohtani,LAD,29,159,731,636,0.110807113,0.221614227,0.4721635,0.30466384,0.70513901,0.73507463,0.5944334,0.81959379,0.41825229,0.12508809,95.80460578,119.2,16.19874477,0.21369295,0.59751037,0.336470588,0.236401673,0.359832635,0.40376569,0.051813471,0.279792746,0.42379958,0.34655532,0.22964509,9.735348321,8.105655161,59,4,-17.1759243,0.309617624,0.672089823,0.443897981,125.4853939,183.701513,214.2138786,179.6782932,8.948559152
2017,Aaron Judge,NYY,25,155,678,542,0.187315634,0.30678466,0.41083975,0.24681793,0.66159052,0.67589577,0.44843049,0.8056266,0.39544998,0.1331549,95.01157386,121.1,15.83086053,0.25739645,0.55029586,0.356643356,0.218934911,0.349112426,0.431952662,0.061643835,0.356164383,0.41420118,0.30769231,0.27810651,-1.161920076,4.817953442,9,4,-7.451987743,0.287040668,0.668491667,0.45026038,110.8939955,175.9190641,197.6138147,173.8166436,8.694270303
2016,Mike Trout,LAA,24,159,681,549,0.170337738,0.201174743,0.38750839,0.22978476,0.60285941,0.81369151,0.70632911,0.86956522,0.42276696,0.07133378,90.91620558,117.1,13.70822943,0.14148681,0.40047962,0.37113402,0.220623501,0.412470023,0.366906474,0.02614379,0.189542483,0.40527578,0.32853717,0.26618705,5.115160327,6.555580889,30,7,0.972793102,0.30369044,0.569495282,0.42560436,122.4006584,166.6891623,141.2007025,170.1334302,8.636526911
2019,Alex Bregman,HOU,25,156,690,554,0.172463768,0.120289855,0.35084106,0.18843931,0.58833474,0.86986301,0.76993865,0.91666667,0.40611054,0.04562607,89.26624265,107.4,19.61752137,0.0480167,0.37160752,0.280821917,0.225469728,0.315240083,0.459290187,0.118181818,0.186363636,0.45302714,0.36325678,0.18371608,-1.14627677,3.838061281,5,1,3.280748844,0.264188894,0.455299999,0.374715811,116.6672335,165.4420045,158.8517884,167.294541,8.323392223
2024,Juan Soto,NYY,25,157,713,576,0.180925666,0.16690042,0.36891892,0.21299435,0.60084034,0.7985348,0.67374005,0.86433566,0.40202703,0.07409902,94.1859375,115.7,10.67252747,0.19739696,0.56832972,0.297619047,0.203947368,0.436403508,0.359649122,0.085365853,0.25,0.45119306,0.34707158,0.20173536,-3.868738689,4.300614076,7,4,-7.379971027,0.310993474,0.656122879,0.463642287,120.2232634,180.1189516,181.7052368,180.9905556,8.290403914
2025,Bobby Witt Jr.,KCR,25,157,687,623,0.071324599,0.181950509,0.51095181,0.34530387,0.73659454,0.78332034,0.65,0.86845466,0.42333732,0.11066879,93.30000311,117.5,15.17330677,0.12475248,0.48514851,0.334024896,0.201980198,0.370297029,0.427722772,0.106481481,0.106481481,0.34851485,0.36831683,0.28316832,7.413172552,6.856770196,38,9,6.460904121,0.285246572,0.507625161,0.365182075,121.2027921,135.5269619,126.9118865,129.716442,8.011112535
2024,Gunnar Henderson,BAL,23,159,719,630,0.108484005,0.221140472,0.44233425,0.26157547,0.68613139,0.7782982,0.62298851,0.85815603,0.42575967,0.09782983,92.80421776,113.1,9.216842105,0.11157895,0.53894737,0.319634703,0.206315789,0.467368421,0.326315789,0.077419354,0.238709677,0.39157895,0.37684211,0.23157895,3.988065809,6.711413311,21,4,6.903290749,0.279022969,0.498542191,0.373915666,117.2021623,151.964083,159.9775209,153.7950708,7.896378175
2018,Alex Bregman,HOU,24,157,705,594,0.136170212,0.120567375,0.37114498,0.20012277,0.60486577,0.88538682,0.79141104,0.92787795,0.4225452,0.04253811,89.35295429,107.6,16.74212598,0.07617188,0.3984375,0.288981288,0.219178082,0.346379647,0.43444227,0.126126126,0.139639639,0.484375,0.32421875,0.19140625,3.430004284,3.623655736,10,4,3.139002085,0.267230116,0.463590515,0.36895704,114.5726628,151.4080905,147.3495757,156.8536579,7.892145891
2018,Francisco Lindor,CLE,24,158,745,661,0.093959731,0.143624161,0.46915696,0.32701149,0.67911715,0.84075968,0.74516696,0.90875,0.40370117,0.07465753,90.59291193,114.5,14.69636364,0.09285714,0.40535714,0.279383429,0.215827338,0.388489208,0.395683453,0.104545454,0.172727272,0.40357143,0.34642857,0.25,1.43269739,5.423352989,25,10,7.023318768,0.291394461,0.515862887,0.377613833,110.8327629,134.9126553,145.1112235,131.5238707,7.79527559
